src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.22.223.115,50024,192.168.1.5,52732,17,52,4224,80,88,81.23076923,2.886409698,1669046143,1669046186,43.00789285,0.012485027,1.034981966,0.843292017,0.298294013,44,3520,80,80,80,0,1669046143,1669046186,43.00789285,0.961468935,1.034981966,1.000183555,0.009237218,8,704,88,88,88,0,1669046148,1669046184,35.32618117,3.928225994,6.127389908,5.04659731,0.752810292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.175.191.203,443,192.168.1.5,51399,6,12,506,40,52,42.16666667,4.412734098,1669046144,1669046205,61.4399271,5.60E-05,20.46943903,5.585447918,7.528662476,6,264,40,52,44,5.656854249,1669046144,1669046205,61.43987107,2.800925016,20.46953583,12.28797421,6.577700697,6,242,40,41,40.33333333,0.471404521,1669046144,1669046205,61.43969417,2.876721144,20.46955514,12.28793883,6.528867423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52249,2800:3f0:4005:401::2004,443,6,14,1496,20,676,106.8571429,181.5622117,1669046144,1669046189,44.75235987,0,44.31109095,3.442489221,11.7978223,6,559,20,380,93.16666667,129.4364924,1669046144,1669046189,44.6540339,0.00352788,44.40780497,8.93080678,17.73858101,8,937,20,676,117.125,211.8421803,1669046144,1669046189,44.65564585,0,44.40629792,6.379377978,15.52452118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52532,2800:3f0:4005:404::200e,443,6,4,106,21,32,26.5,5.5,1669046144,1669046190,45.18650293,0.086766005,45.00591397,15.06216764,21.17342628,2,42,21,21,21,0,1669046144,1669046189,45.09973693,45.09973693,45.09973693,45.09973693,0,2,64,32,32,32,0,1669046144,1669046190,45.09267998,45.09267998,45.09267998,45.09267998,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52299,2800:3f0:4005:40a::200e,443,6,4,106,21,32,26.5,5.5,1669046145,1669046190,45.19302988,0.092474937,45.00647211,15.06434329,21.17228234,2,42,21,21,21,0,1669046145,1669046190,45.10055494,45.10055494,45.10055494,45.10055494,0,2,64,32,32,32,0,1669046145,1669046190,45.09894705,45.09894705,45.09894705,45.09894705,0
