src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
192.168.170.1,68,192.168.170.254,67,17,2,672,328,344,336.0,8.0,1672728918.666361,1672728918.666636,0.00027489662170410156,0.00027489662170410156,0.00027489662170410156,0.00027489662170410156,0.0,1,344,344,344,344,0.0,1672728918.666361,1672728918.666361,0,0,0,0,0,1,328,328,328,328.0,0.0,1672728918.666636,1672728918.666636,0,0,0,0,0
fe80::c6e5:9b96:b77c:dda6,0,ff02::16,0,58,11,308,28,28,28.0,0.0,1672728918.693565,1672728924.457869,5.764304161071777,0.00039005279541015625,4.949148893356323,0.5764304161071777,1.4634651484302348,11,308,28,28,28.0,0.0,1672728918.693565,1672728924.457869,5.764304161071777,0.00039005279541015625,4.949148893356323,0.5764304161071777,1.4634651484302348,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,0,224.0.0.22,0,2,11,440,40,40,40.0,0.0,1672728918.693834,1672728924.45761,5.763775825500488,0.00049591064453125,4.9495978355407715,0.5763775825500488,1.4636247824525508,11,440,40,40,40.0,0.0,1672728918.693834,1672728924.45761,5.763775825500488,0.00049591064453125,4.9495978355407715,0.5763775825500488,1.4636247824525508,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,5353,224.0.0.251,5353,17,4,344,67,105,86.0,19.0,1672728918.868911,1672728924.002081,5.133169889450073,0.007215976715087891,5.114861011505127,1.7110566298166912,2.4068536805321825,4,344,67,105,86.0,19.0,1672728918.868911,1672728924.002081,5.133169889450073,0.007215976715087891,5.114861011505127,1.7110566298166912,2.4068536805321825,0,0,0,0,0,0,0,0,0,0,0,0,0
fe80::c6e5:9b96:b77c:dda6,5353,ff02::fb,5353,17,4,264,47,85,66.0,19.0,1672728918.872964,1672728924.000023,5.127058982849121,0.003107786178588867,5.119304180145264,1.709019660949707,2.4114353911735043,4,264,47,85,66.0,19.0,1672728918.872964,1672728924.000023,5.127058982849121,0.003107786178588867,5.119304180145264,1.709019660949707,2.4114353911735043,0,0,0,0,0,0,0,0,0,0,0,0,0
fe80::c6e5:9b96:b77c:dda6,61644,ff02::1:3,5355,17,1,41,41,41,41,0.0,1672728918.875129,1672728918.875129,0,0,0,0,0,1,41,41,41,41,0.0,1672728918.875129,1672728918.875129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,61644,224.0.0.252,5355,17,1,61,61,61,61,0.0,1672728918.875433,1672728918.875433,0,0,0,0,0,1,61,61,61,61,0.0,1672728918.875433,1672728918.875433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe80::c6e5:9b96:b77c:dda6,59231,ff02::1:3,5355,17,1,41,41,41,41,0.0,1672728923.999924,1672728923.999924,0,0,0,0,0,1,41,41,41,41,0.0,1672728923.999924,1672728923.999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59231,224.0.0.252,5355,17,1,61,61,61,61,0.0,1672728924.000329,1672728924.000329,0,0,0,0,0,1,61,61,61,61,0.0,1672728924.000329,1672728924.000329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59235,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672728933.539958,1672728936.580606,3.0406479835510254,1.0089149475097656,1.0179169178009033,1.0135493278503418,0.0036798777257570706,4,812,203,203,203.0,0.0,1672728933.539958,1672728936.580606,3.0406479835510254,1.0089149475097656,1.0179169178009033,1.0135493278503418,0.0036798777257570706,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59239,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672728933.586769,1672728936.628932,3.0421628952026367,1.0102729797363281,1.0170249938964844,1.014054298400879,0.0028154639932890676,4,812,203,203,203.0,0.0,1672728933.586769,1672728936.628932,3.0421628952026367,1.0102729797363281,1.0170249938964844,1.014054298400879,0.0028154639932890676,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59243,239.255.255.250,1900,17,4,792,198,198,198.0,0.0,1672728933.620676,1672728936.655505,3.0348289012908936,1.005652904510498,1.01723313331604,1.011609633763631,0.004733476968871805,4,792,198,198,198.0,0.0,1672728933.620676,1672728936.655505,3.0348289012908936,1.005652904510498,1.01723313331604,1.011609633763631,0.004733476968871805,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59247,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672729053.545627,1672729056.577259,3.0316319465637207,1.0038070678710938,1.0200340747833252,1.010543982187907,0.006904777636184922,4,812,203,203,203.0,0.0,1672729053.545627,1672729056.577259,3.0316319465637207,1.0038070678710938,1.0200340747833252,1.010543982187907,0.006904777636184922,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59251,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672729053.585877,1672729056.61098,3.0251030921936035,1.0057120323181152,1.0116291046142578,1.008367697397868,0.0024533146002253094,4,812,203,203,203.0,0.0,1672729053.585877,1672729056.61098,3.0251030921936035,1.0057120323181152,1.0116291046142578,1.008367697397868,0.0024533146002253094,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,59255,239.255.255.250,1900,17,4,792,198,198,198.0,0.0,1672729053.61754,1672729056.66779,3.0502500534057617,1.0087721347808838,1.0305159091949463,1.0167500178019206,0.009774924113194612,4,792,198,198,198.0,0.0,1672729053.61754,1672729056.66779,3.0502500534057617,1.0087721347808838,1.0305159091949463,1.0167500178019206,0.009774924113194612,0,0,0,0,0,0,0,0,0,0,0,0,0
