src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat
192.168.1.5,55063,66.22.223.115,50024,17,1,88,88,88,88,0.0,1669046122.669804,1669046122.669804,0,0,0,0,0
54.175.191.203,443,192.168.1.5,51399,6,7,304,40,52,43.42857142857143,5.421047417431508,1669046123.021737,1669046204.941857,81.92012000083923,2.800931215286255,20.480242013931274,13.653353333473206,6.736198854573786
192.168.1.5,51399,54.175.191.203,443,6,13,524,40,41,40.30769230769231,0.4615384615384615,1669046123.021925,1669046204.941918,81.91999292373657,5.0067901611328125e-06,20.480283975601196,6.826666076978047,8.308115971176369
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,64554,2800:5f0:1000:10::2,53,17,1,58,58,58,58,0.0,1669046123.035906,1669046123.035906,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52731,2800:5f0:1000:10::2,53,17,1,58,58,58,58,0.0,1669046123.036241,1669046123.036241,0,0,0,0,0
66.22.223.115,50024,192.168.1.5,55063,17,6,480,80,80,80.0,0.0,1669046123.037132,1669046128.039359,5.002227067947388,0.9981470108032227,1.0021178722381592,1.0004454135894776,0.0013626830221808261
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,64554,17,1,181,181,181,181,0.0,1669046123.039525,1669046123.039525,0,0,0,0,0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52731,17,1,225,225,225,225,0.0,1669046123.039525,1669046123.039525,0,0,0,0,0
192.168.1.5,52560,40.79.197.34,443,6,9,2444,40,1406,271.55555555555554,431.63155870387396,1669046123.041018,1669046123.859521,0.8185029029846191,0.00019598007202148438,0.2051219940185547,0.10231286287307739,0.10095366969696326
192.168.1.5,55926,162.159.130.235,443,6,24,1692,40,101,70.5,30.5,1669046123.201427,1669046205.845706,82.64427900314331,1.4066696166992188e-05,13.626352787017822,3.593229521875796,5.9548368751386676
162.159.130.235,443,192.168.1.5,55926,6,14,959,40,97,68.5,28.5,1669046123.205267,1669046205.79527,82.59000301361084,0.07701516151428223,13.688566207885742,6.353077154893142,6.775200056677675
40.79.197.34,443,192.168.1.5,52560,6,8,5970,40,1492,746.25,663.9414036645102,1669046123.243897,1669046124.058279,0.8143820762634277,0.0,0.2069690227508545,0.1163402966090611,0.10077058226485519
192.168.1.5,137,192.168.1.1,137,17,1,96,96,96,96,0.0,1669046123.269275,1669046123.269275,0,0,0,0,0
192.168.1.1,0,192.168.1.5,0,1,7,3580,124,576,511.42857142857144,158.1670519625709,1669046123.274571,1669046189.367629,66.09305810928345,0.0,56.78000807762146,11.015509684880575,20.74691954115291
