src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
192.168.170.133,46159,192.168.170.2,53,17,2,186,85,101,93.0,8.0,1675311773.274793,1675311773.286619,0.011826038360595703,0.011826038360595703,0.011826038360595703,0.011826038360595703,0.0,1,85,85,85,85,0.0,1675311773.274793,1675311773.274793,0,0,0,0,0,1,101,101,101,101.0,0.0,1675311773.286619,1675311773.286619,0,0,0,0,0
192.168.170.133,48792,192.168.170.2,53,17,2,251,85,166,125.5,40.5,1675311773.275018,1675311773.286583,0.011564970016479492,0.011564970016479492,0.011564970016479492,0.011564970016479492,0.0,1,85,85,85,85,0.0,1675311773.275018,1675311773.275018,0,0,0,0,0,1,166,166,166,166.0,0.0,1675311773.286583,1675311773.286583,0,0,0,0,0
192.168.170.133,54658,34.117.237.239,443,6,34,3904,40,703,114.82352941176471,158.5597810046707,1675311773.287599,1675311943.879376,170.59177684783936,1.5974044799804688e-05,116.49379801750183,5.169447783267859,21.72893132604965,17,2009,40,703,118.17647058823529,159.5524016056527,1675311773.287599,1675311943.879376,170.59177684783936,7.200241088867188e-05,116.49413704872131,10.66198605298996,30.253029598275887,17,1895,40,626,111.47058823529412,157.48953939008467,1675311773.307785,1675311943.879329,170.57154393196106,1.5974044799804688e-05,116.49422812461853,10.660721495747566,30.25355498204823
54.202.26.9,443,192.168.170.133,45172,6,7,412,40,75,58.857142857142854,16.400597301218475,1675311775.104837,1675312075.258815,300.15397810935974,4.506111145019531e-05,300.15247678756714,50.02566301822662,111.86011171682982,4,222,40,71,55.5,15.5,1675311775.104837,1675312075.258815,300.15397810935974,0.0005321502685546875,300.15247678756714,100.05132603645325,141.49288061945674,3,190,40,75,63.333333333333336,16.49915822768611,1675311775.104882,1675312075.258493,300.1536109447479,0.0004839897155761719,300.15312695503235,150.07680547237396,150.0763214826584
192.168.170.132,39090,18.64.174.19,443,6,16,901,40,86,56.3125,21.335764428536418,1675311778.611516,1675311890.7164,112.10488390922546,5.0067901611328125e-06,58.949788093566895,7.473658927281698,19.054772548308307,8,489,40,86,61.125,21.61849613178493,1675311778.611516,1675311890.7164,112.10488390922546,0.0003559589385986328,58.949788093566895,16.014983415603638,25.32289003459604,8,412,40,86,51.5,19.91858428704209,1675311778.611801,1675311890.715925,112.10412406921387,0.0005338191986083984,58.95016598701477,16.014874867030553,25.323221427675826
192.168.170.132,44070,35.244.181.201,443,6,16,901,40,86,56.3125,21.335764428536418,1675311778.611797,1675311890.693511,112.08171391487122,9.5367431640625e-07,58.92603397369385,7.472114260991415,19.05651321951497,8,489,40,86,61.125,21.61849613178493,1675311778.611797,1675311890.693511,112.08171391487122,0.0001609325408935547,58.92603397369385,16.011673416410172,25.3268209554325,8,412,40,86,51.5,19.91858428704209,1675311778.612029,1675311890.693121,112.08109188079834,2.86102294921875e-06,58.96832513809204,16.011584554399764,25.341047221572353
192.168.170.133,47624,172.217.30.196,443,6,6,303,40,79,50.5,15.46770829825802,1675311787.31472,1675311787.333462,0.018742084503173828,3.790855407714844e-05,0.018141984939575195,0.0037484169006347656,0.007197082889520614,3,183,40,79,61.0,16.06237840420901,1675311787.31472,1675311787.333462,0.018742084503173828,0.00021600723266601562,0.018526077270507812,0.009371042251586914,0.009155035018920898,3,120,40,40,40.0,0.0,1675311787.315151,1675311787.333424,0.018273115158081055,0.00013113021850585938,0.018141984939575195,0.009136557579040527,0.009005427360534668
192.168.170.133,32964,192.168.170.2,53,17,2,264,73,191,132.0,59.0,1675311801.915306,1675311801.92693,0.011623859405517578,0.011623859405517578,0.011623859405517578,0.011623859405517578,0.0,1,73,73,73,73,0.0,1675311801.915306,1675311801.915306,0,0,0,0,0,1,191,191,191,191.0,0.0,1675311801.92693,1675311801.92693,0,0,0,0,0
192.168.170.133,41387,192.168.170.2,53,17,2,338,73,265,169.0,96.0,1675311801.915471,1675311801.926977,0.011505842208862305,0.011505842208862305,0.011505842208862305,0.011505842208862305,0.0,1,73,73,73,73,0.0,1675311801.915471,1675311801.915471,0,0,0,0,0,1,265,265,265,265.0,0.0,1675311801.926977,1675311801.926977,0,0,0,0,0
192.168.170.133,55660,192.168.170.2,53,17,2,279,93,186,139.5,46.5,1675311801.92761,1675311801.936899,0.009289026260375977,0.009289026260375977,0.009289026260375977,0.009289026260375977,0.0,1,93,93,93,93,0.0,1675311801.92761,1675311801.92761,0,0,0,0,0,1,186,186,186,186.0,0.0,1675311801.936899,1675311801.936899,0,0,0,0,0
